id,protocol,use_tls,temperature,humidity,current,client_timestamp,server_timestamp,latency_ms,payload_size_bytes,created_at
1,mqtt,f,25.38,58.62,4.16,1772146033.791111,1772146033.8207786,29.66761589050293,90,2026-02-26 22:47:13.820937
2,mqtt,f,20.82,55.99,3.86,1772146033.8453326,1772146033.8486438,3.3111572265625,91,2026-02-26 22:47:13.848778
3,mqtt,f,22.98,40.5,2.6,1772146033.8996103,1772146033.902387,2.776622772216797,89,2026-02-26 22:47:13.9025
4,mqtt,f,27.01,53.04,1.24,1772146033.953376,1772146033.9560227,2.6466846466064453,90,2026-02-26 22:47:13.956133
5,mqtt,f,29.47,57.55,4.87,1772146034.0068305,1772146034.0094905,2.660036087036133,91,2026-02-26 22:47:14.009619
6,mqtt,f,27.54,53.38,1.56,1772146034.0602875,1772146034.063572,3.284454345703125,91,2026-02-26 22:47:14.063778
7,mqtt,f,23.4,53.07,3.48,1772146034.1147435,1772146034.1173189,2.575397491455078,90,2026-02-26 22:47:14.117426
8,mqtt,f,20.71,51.88,2.78,1772146034.1680775,1772146034.1709623,2.8848648071289062,91,2026-02-26 22:47:14.171058
9,mqtt,f,23.35,55.28,3.36,1772146034.2215476,1772146034.2238615,2.313852310180664,91,2026-02-26 22:47:14.223956
10,mqtt,f,21.4,50.27,3.02,1772146034.2749603,1772146034.2782438,3.2835006713867188,90,2026-02-26 22:47:14.278348
11,mqtt,f,25.44,42.49,4.57,1772146034.3290517,1772146034.3316777,2.6259422302246094,91,2026-02-26 22:47:14.331806
12,mqtt,f,20.53,50.71,2.08,1772146034.3824604,1772146034.3854604,3.000020980834961,91,2026-02-26 22:47:14.385589
13,mqtt,f,27.84,49.8,2.66,1772146034.4364698,1772146034.4389966,2.5267601013183594,90,2026-02-26 22:47:14.439105
14,mqtt,f,28.1,55.85,1.08,1772146034.4897685,1772146034.4939592,4.190683364868164,90,2026-02-26 22:47:14.49412
15,mqtt,f,21.75,57.32,2.74,1772146034.5447404,1772146034.5475721,2.831697463989258,91,2026-02-26 22:47:14.547685
16,mqtt,f,22.13,48.84,3.46,1772146034.59841,1772146034.6008909,2.4809837341308594,89,2026-02-26 22:47:14.601019
17,mqtt,f,27.51,52.91,4.26,1772146034.6516433,1772146034.6542578,2.6144981384277344,91,2026-02-26 22:47:14.654384
18,mqtt,f,29.3,48.85,2.11,1772146034.7051034,1772146034.7077668,2.6633739471435547,90,2026-02-26 22:47:14.707899
19,mqtt,f,26.16,56.99,4.14,1772146034.7585914,1772146034.761794,3.202676773071289,91,2026-02-26 22:47:14.761963
20,mqtt,f,28.4,57.02,4.95,1772146034.8127074,1772146034.8151264,2.418994903564453,90,2026-02-26 22:47:14.815216
21,mqtt,f,27.01,49.51,3.9,1772146034.8659167,1772146034.868588,2.6712417602539062,90,2026-02-26 22:47:14.868686
22,mqtt,f,26.96,46.61,1.89,1772146034.9193454,1772146034.922401,3.055572509765625,91,2026-02-26 22:47:14.922495
23,mqtt,f,27.19,44.31,3.49,1772146034.973447,1772146034.9767518,3.304719924926758,90,2026-02-26 22:47:14.976892
24,mqtt,f,26.47,51.72,4.81,1772146035.0274496,1772146035.0302954,2.84576416015625,91,2026-02-26 22:47:15.030426
25,mqtt,f,20.04,57.08,2.66,1772146035.0810754,1772146035.0851002,4.024744033813477,91,2026-02-26 22:47:15.08527
26,mqtt,f,29.03,46.98,3.98,1772146035.1358008,1772146035.138292,2.4912357330322266,91,2026-02-26 22:47:15.138463
27,mqtt,f,26.46,48.38,3.03,1772146035.189033,1772146035.1915448,2.511739730834961,90,2026-02-26 22:47:15.191637
28,mqtt,f,20.55,58.7,4.82,1772146035.242448,1772146035.245305,2.8569698333740234,89,2026-02-26 22:47:15.245404
29,mqtt,f,29.05,44.41,3.4,1772146035.2964506,1772146035.2990272,2.576589584350586,90,2026-02-26 22:47:15.299196
